Employee_ID,Department,Gender,Age,Education_Level,Job_Role,Monthly_Income,Years_At_Company,Years_In_Current_Role,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours_Last_Year,Last_Promotion_Years_Ago,Distance_From_Home,Overtime,Attrition,Marital_Status,Number_Of_Companies_Worked,Stock_Option_Level,Employee_ID_Custom,resultado_capacitacion_pci,cluster
1050.0,Sales,Female,21.0,Master's Degree,Intern,1123.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,49.0,Yes,No,Single,1.0,0.0,50,95,1
1051.0,Sales,Non-binary,45.0,Bachelor's Degree,Team Lead,8196.0,35.0,16.0,1.0,5.0,4.0,48.0,7.0,44.0,No,No,Single,8.0,2.0,51,86,2
1052.0,Sales,Prefer not to say,59.0,PhD,Executive,3259.0,2.0,2.0,1.0,5.0,1.0,51.0,4.0,41.0,Yes,Yes,Divorced,9.0,3.0,52,93,0
1053.0,Sales,Male,51.0,PhD,Team Lead,8372.0,4.0,16.0,2.0,4.0,5.0,20.0,3.0,48.0,No,No,Married,8.0,3.0,53,86,2
1054.0,Marketing,Female,34.0,High School,Executive,4518.0,0.0,7.0,5.0,4.0,4.0,11.0,7.0,7.0,Yes,No,Divorced,8.0,3.0,54,91,0
1055.0,Finance,Prefer not to say,26.0,Master's Degree,Manager,11055.0,18.0,2.0,2.0,2.0,1.0,10.0,12.0,8.0,Yes,No,Married,8.0,0.0,55,80,2
1056.0,HR,Prefer not to say,46.0,Master's Degree,Team Lead,6646.0,32.0,9.0,4.0,5.0,1.0,53.0,2.0,7.0,No,No,Widowed,8.0,2.0,56,89,2
1057.0,Sales,Prefer not to say,41.0,High School,Team Lead,8141.0,29.0,1.0,4.0,4.0,1.0,82.0,1.0,37.0,No,Yes,Divorced,5.0,3.0,57,86,2
1058.0,IT,Non-binary,39.0,PhD,Analyst,3895.0,11.0,3.0,5.0,4.0,3.0,69.0,3.0,7.0,No,Yes,Married,3.0,1.0,58,92,0
1059.0,Sales,Male,39.0,Associate's Degree,Team Lead,9319.0,9.0,13.0,5.0,2.0,1.0,13.0,10.0,18.0,No,Yes,Divorced,4.0,3.0,59,84,2
1060.0,IT,Prefer not to say,20.0,Associate's Degree,Intern,1421.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,48.0,No,Yes,Single,1.0,0.0,60,95,1
1061.0,IT,Male,31.0,PhD,Executive,2499.0,15.0,13.0,1.0,3.0,1.0,76.0,0.0,39.0,No,No,Single,7.0,2.0,61,94,0
1062.0,Sales,Non-binary,33.0,Master's Degree,Manager,10260.0,39.0,12.0,1.0,2.0,1.0,25.0,4.0,21.0,No,No,Divorced,9.0,1.0,62,83,2
1063.0,Marketing,Prefer not to say,18.0,Associate's Degree,Intern,1145.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,34.0,Yes,Yes,Single,1.0,0.0,63,96,1
1064.0,IT,Non-binary,20.0,Bachelor's Degree,Intern,1392.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,49.0,No,No,Single,1.0,0.0,64,95,1
1065.0,IT,Non-binary,21.0,Bachelor's Degree,Intern,1213.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,27.0,No,No,Single,1.0,0.0,65,96,1
1066.0,Sales,Male,21.0,High School,Intern,1439.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,8.0,No,No,Single,1.0,0.0,66,96,1
1067.0,IT,Prefer not to say,59.0,PhD,Manager,9502.0,35.0,4.0,5.0,4.0,5.0,45.0,3.0,34.0,Yes,Yes,Widowed,4.0,0.0,67,84,2
1068.0,IT,Non-binary,47.0,PhD,Analyst,4470.0,29.0,8.0,3.0,5.0,4.0,54.0,7.0,18.0,Yes,Yes,Single,6.0,0.0,68,91,0
1069.0,Sales,Prefer not to say,35.0,Associate's Degree,Team Lead,5842.0,34.0,19.0,5.0,2.0,3.0,93.0,13.0,41.0,Yes,Yes,Widowed,1.0,0.0,69,89,2
1070.0,Sales,Male,18.0,Master's Degree,Intern,1127.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,12.0,No,No,Single,1.0,0.0,70,96,1
1071.0,HR,Non-binary,59.0,PhD,Team Lead,8414.0,17.0,11.0,3.0,3.0,2.0,73.0,1.0,22.0,Yes,No,Single,7.0,2.0,71,86,2
1072.0,Marketing,Male,22.0,Associate's Degree,Team Lead,8428.0,18.0,17.0,2.0,4.0,2.0,91.0,14.0,40.0,No,No,Married,6.0,3.0,72,85,2
1073.0,Marketing,Prefer not to say,23.0,Associate's Degree,Intern,1293.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,22.0,No,Yes,Single,1.0,0.0,73,96,1
1074.0,IT,Prefer not to say,43.0,PhD,Analyst,2578.0,3.0,4.0,4.0,3.0,4.0,77.0,2.0,8.0,Yes,Yes,Single,7.0,3.0,74,94,0
1075.0,Marketing,Male,44.0,Associate's Degree,Team Lead,8510.0,5.0,19.0,5.0,2.0,1.0,11.0,13.0,42.0,No,Yes,Widowed,2.0,2.0,75,85,2
1076.0,IT,Female,40.0,High School,Executive,3211.0,32.0,13.0,4.0,5.0,1.0,53.0,12.0,28.0,Yes,Yes,Widowed,4.0,2.0,76,93,0
1077.0,HR,Non-binary,39.0,High School,Team Lead,7303.0,31.0,15.0,5.0,5.0,3.0,63.0,2.0,47.0,Yes,No,Widowed,5.0,2.0,77,87,2
1078.0,Sales,Prefer not to say,19.0,PhD,Intern,1148.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,32.0,Yes,No,Single,1.0,0.0,78,96,1
1079.0,Sales,Prefer not to say,49.0,Master's Degree,Manager,11637.0,10.0,8.0,3.0,3.0,4.0,36.0,12.0,11.0,Yes,Yes,Married,6.0,1.0,79,77,2
1080.0,Sales,Non-binary,49.0,High School,Team Lead,6505.0,21.0,16.0,3.0,5.0,4.0,73.0,14.0,21.0,No,Yes,Divorced,6.0,0.0,80,89,2
1081.0,Marketing,Male,54.0,High School,Analyst,4450.0,35.0,6.0,5.0,1.0,1.0,40.0,13.0,26.0,Yes,No,Divorced,5.0,2.0,81,92,0
1082.0,HR,Male,40.0,PhD,Executive,4541.0,22.0,9.0,2.0,4.0,3.0,26.0,10.0,14.0,Yes,No,Single,5.0,1.0,82,91,0
1083.0,Marketing,Male,49.0,Bachelor's Degree,Executive,3746.0,25.0,3.0,5.0,2.0,4.0,41.0,2.0,15.0,No,Yes,Divorced,1.0,2.0,83,92,0
1084.0,Marketing,Female,58.0,Associate's Degree,Manager,7368.0,30.0,9.0,5.0,3.0,3.0,75.0,7.0,14.0,No,Yes,Married,4.0,1.0,84,88,2
1085.0,HR,Female,47.0,High School,Manager,11774.0,28.0,2.0,5.0,3.0,4.0,85.0,5.0,12.0,Yes,Yes,Divorced,9.0,2.0,85,76,2
1086.0,HR,Prefer not to say,56.0,Bachelor's Degree,Team Lead,7742.0,4.0,8.0,3.0,1.0,3.0,67.0,14.0,36.0,Yes,No,Widowed,2.0,1.0,86,87,2
1087.0,HR,Male,23.0,Master's Degree,Intern,1326.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,Yes,No,Single,1.0,0.0,87,96,1
1088.0,HR,Non-binary,56.0,Bachelor's Degree,Analyst,3257.0,24.0,0.0,3.0,3.0,3.0,35.0,9.0,44.0,Yes,No,Single,2.0,0.0,88,93,0
1089.0,Sales,Prefer not to say,59.0,PhD,Executive,4539.0,33.0,14.0,1.0,1.0,1.0,56.0,11.0,7.0,No,No,Single,9.0,0.0,89,92,0
1090.0,Finance,Non-binary,37.0,Master's Degree,Manager,9433.0,11.0,14.0,2.0,1.0,2.0,77.0,14.0,39.0,Yes,No,Widowed,5.0,3.0,90,83,2
1091.0,Finance,Prefer not to say,59.0,Master's Degree,Analyst,4972.0,21.0,10.0,1.0,2.0,3.0,11.0,8.0,46.0,No,Yes,Divorced,9.0,0.0,91,91,0
1092.0,HR,Female,18.0,Bachelor's Degree,Intern,1139.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0,No,Yes,Single,1.0,0.0,92,96,1
1093.0,Finance,Prefer not to say,44.0,PhD,Executive,2945.0,19.0,6.0,3.0,4.0,4.0,19.0,6.0,39.0,No,Yes,Single,9.0,0.0,93,93,0
1094.0,Finance,Female,43.0,High School,Executive,4578.0,28.0,0.0,2.0,3.0,2.0,44.0,5.0,25.0,Yes,Yes,Married,2.0,0.0,94,91,0
1095.0,HR,Prefer not to say,20.0,Bachelor's Degree,Intern,1291.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,31.0,Yes,Yes,Single,1.0,0.0,95,95,1
1096.0,Finance,Male,49.0,High School,Executive,3335.0,26.0,4.0,2.0,1.0,4.0,61.0,4.0,22.0,No,No,Married,8.0,1.0,96,93,0
1097.0,Marketing,Non-binary,22.0,Bachelor's Degree,Intern,1121.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,10.0,Yes,Yes,Single,1.0,0.0,97,96,1
1098.0,IT,Male,29.0,High School,Executive,4988.0,4.0,7.0,5.0,4.0,5.0,33.0,8.0,18.0,No,Yes,Single,1.0,1.0,98,91,0
1099.0,IT,Prefer not to say,43.0,Bachelor's Degree,Team Lead,8274.0,12.0,1.0,1.0,2.0,2.0,20.0,12.0,13.0,No,Yes,Married,2.0,3.0,99,86,2
1100.0,HR,Prefer not to say,19.0,Master's Degree,Intern,1010.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,8.0,Yes,No,Single,1.0,0.0,100,96,1
1101.0,Sales,Prefer not to say,47.0,Associate's Degree,Analyst,4160.0,14.0,13.0,4.0,4.0,5.0,8.0,5.0,9.0,Yes,Yes,Widowed,9.0,1.0,101,92,0
1102.0,HR,Female,59.0,Master's Degree,Team Lead,7608.0,17.0,3.0,5.0,4.0,5.0,73.0,11.0,15.0,No,No,Married,5.0,1.0,102,87,2
1103.0,Sales,Non-binary,42.0,High School,Analyst,3524.0,1.0,14.0,2.0,3.0,4.0,9.0,10.0,8.0,No,Yes,Married,1.0,0.0,103,93,0
1104.0,IT,Non-binary,46.0,PhD,Executive,4391.0,22.0,6.0,1.0,2.0,3.0,51.0,3.0,33.0,No,Yes,Divorced,1.0,1.0,104,91,0
1105.0,HR,Prefer not to say,59.0,Master's Degree,Analyst,2357.0,12.0,19.0,1.0,5.0,1.0,44.0,3.0,35.0,Yes,No,Married,2.0,2.0,105,94,0
1106.0,Marketing,Prefer not to say,22.0,Associate's Degree,Team Lead,7374.0,3.0,7.0,3.0,4.0,4.0,51.0,11.0,19.0,Yes,Yes,Single,1.0,1.0,106,87,2
1107.0,Finance,Female,22.0,High School,Intern,1383.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,30.0,Yes,Yes,Single,1.0,0.0,107,95,1
1108.0,Sales,Male,44.0,Master's Degree,Manager,11778.0,10.0,1.0,5.0,5.0,2.0,63.0,10.0,9.0,No,No,Widowed,2.0,3.0,108,75,2
1109.0,Finance,Male,44.0,Bachelor's Degree,Analyst,2125.0,11.0,8.0,1.0,3.0,3.0,96.0,5.0,19.0,Yes,Yes,Single,8.0,1.0,109,94,0
1110.0,Finance,Non-binary,59.0,PhD,Manager,7395.0,12.0,5.0,5.0,3.0,5.0,1.0,0.0,47.0,No,No,Married,5.0,1.0,110,87,2
1111.0,HR,Female,59.0,High School,Analyst,3743.0,8.0,0.0,2.0,2.0,2.0,48.0,8.0,46.0,No,No,Divorced,1.0,2.0,111,92,0
1112.0,Finance,Prefer not to say,44.0,Master's Degree,Analyst,4129.0,37.0,2.0,2.0,1.0,2.0,95.0,13.0,26.0,Yes,No,Widowed,4.0,0.0,112,92,0
1113.0,Marketing,Non-binary,24.0,High School,Intern,1450.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,No,No,Single,1.0,0.0,113,96,1
1114.0,Finance,Female,51.0,Bachelor's Degree,Executive,2251.0,9.0,4.0,4.0,5.0,1.0,16.0,1.0,3.0,No,No,Widowed,6.0,3.0,114,94,0
1115.0,HR,Male,34.0,Associate's Degree,Team Lead,8935.0,22.0,11.0,5.0,2.0,4.0,27.0,4.0,34.0,No,Yes,Divorced,5.0,2.0,115,85,2
1116.0,Marketing,Female,59.0,Master's Degree,Team Lead,6383.0,14.0,0.0,5.0,1.0,3.0,44.0,11.0,25.0,Yes,Yes,Widowed,9.0,0.0,116,89,2
1117.0,IT,Male,39.0,High School,Team Lead,8620.0,22.0,8.0,3.0,2.0,4.0,16.0,11.0,30.0,No,Yes,Divorced,3.0,1.0,117,86,2
1118.0,Finance,Female,44.0,High School,Executive,3576.0,39.0,12.0,2.0,2.0,1.0,58.0,10.0,1.0,No,No,Married,5.0,0.0,118,93,0
1119.0,HR,Non-binary,36.0,High School,Manager,7539.0,36.0,18.0,2.0,2.0,5.0,13.0,3.0,18.0,Yes,Yes,Married,7.0,0.0,119,88,2
1120.0,IT,Male,54.0,Associate's Degree,Team Lead,7950.0,33.0,6.0,1.0,4.0,1.0,9.0,2.0,33.0,No,No,Single,9.0,2.0,120,87,2
1121.0,IT,Non-binary,42.0,High School,Manager,9667.0,15.0,15.0,1.0,4.0,3.0,97.0,4.0,9.0,Yes,Yes,Single,3.0,0.0,121,83,2
1122.0,Sales,Non-binary,59.0,PhD,Executive,2381.0,31.0,7.0,1.0,2.0,5.0,77.0,6.0,7.0,Yes,No,Divorced,4.0,0.0,122,94,0
1123.0,Marketing,Male,44.0,PhD,Executive,3804.0,37.0,18.0,3.0,1.0,4.0,80.0,9.0,30.0,No,No,Divorced,1.0,2.0,123,92,0
1124.0,Finance,Male,22.0,High School,Intern,1282.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,13.0,No,Yes,Single,1.0,0.0,124,96,1
1125.0,HR,Prefer not to say,39.0,PhD,Team Lead,8978.0,4.0,3.0,1.0,1.0,1.0,17.0,12.0,17.0,Yes,Yes,Single,3.0,0.0,125,85,2
1126.0,Sales,Prefer not to say,19.0,Master's Degree,Intern,1251.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,No,Yes,Single,1.0,0.0,126,96,1
1127.0,Marketing,Prefer not to say,59.0,PhD,Team Lead,7270.0,21.0,0.0,1.0,3.0,4.0,47.0,5.0,13.0,No,No,Widowed,7.0,2.0,127,88,2
1128.0,Sales,Non-binary,59.0,High School,Executive,3987.0,38.0,16.0,3.0,2.0,4.0,57.0,3.0,42.0,No,Yes,Divorced,1.0,2.0,128,92,0
1129.0,Marketing,Non-binary,28.0,Bachelor's Degree,Executive,2716.0,17.0,12.0,5.0,2.0,2.0,17.0,1.0,38.0,No,No,Single,9.0,2.0,129,93,0
1130.0,Marketing,Prefer not to say,41.0,Master's Degree,Analyst,3122.0,27.0,18.0,4.0,3.0,3.0,51.0,0.0,37.0,Yes,Yes,Divorced,3.0,0.0,130,93,0
1131.0,Finance,Non-binary,48.0,Associate's Degree,Analyst,4499.0,12.0,12.0,5.0,1.0,2.0,29.0,7.0,10.0,Yes,No,Married,3.0,3.0,131,91,0
1132.0,Marketing,Non-binary,27.0,High School,Executive,4642.0,0.0,8.0,2.0,5.0,2.0,36.0,4.0,14.0,No,No,Divorced,2.0,3.0,132,91,0
1133.0,Sales,Male,48.0,Associate's Degree,Executive,2023.0,18.0,4.0,2.0,5.0,4.0,39.0,9.0,43.0,Yes,Yes,Married,3.0,1.0,133,94,0
1134.0,Marketing,Male,30.0,Bachelor's Degree,Manager,8170.0,33.0,0.0,1.0,3.0,3.0,5.0,1.0,5.0,Yes,Yes,Married,6.0,2.0,134,87,2
1135.0,Finance,Non-binary,52.0,Associate's Degree,Manager,8307.0,3.0,1.0,5.0,5.0,4.0,78.0,7.0,36.0,Yes,Yes,Widowed,4.0,3.0,135,86,2
1136.0,Finance,Prefer not to say,20.0,High School,Intern,1446.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,35.0,No,No,Single,1.0,0.0,136,95,1
1137.0,Sales,Female,47.0,High School,Analyst,2352.0,9.0,3.0,4.0,2.0,2.0,25.0,6.0,46.0,Yes,No,Married,8.0,3.0,137,94,0
1138.0,IT,Prefer not to say,59.0,Bachelor's Degree,Analyst,4120.0,27.0,8.0,5.0,5.0,4.0,90.0,1.0,45.0,Yes,Yes,Widowed,1.0,2.0,138,92,0
1139.0,IT,Female,34.0,High School,Executive,2694.0,33.0,4.0,5.0,4.0,1.0,29.0,12.0,23.0,Yes,Yes,Single,8.0,0.0,139,94,0
1140.0,Marketing,Prefer not to say,44.0,Bachelor's Degree,Executive,2514.0,38.0,4.0,4.0,2.0,1.0,74.0,6.0,5.0,Yes,Yes,Single,2.0,1.0,140,94,0
1141.0,HR,Male,23.0,Bachelor's Degree,Intern,1454.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,44.0,Yes,No,Single,1.0,0.0,141,95,1
1142.0,Marketing,Non-binary,58.0,High School,Analyst,2770.0,35.0,1.0,5.0,2.0,5.0,54.0,3.0,28.0,No,No,Married,4.0,0.0,142,94,0
1143.0,Sales,Non-binary,49.0,PhD,Manager,10675.0,2.0,6.0,4.0,2.0,5.0,77.0,9.0,23.0,No,Yes,Divorced,4.0,2.0,143,80,2
1144.0,Sales,Male,38.0,Bachelor's Degree,Team Lead,7043.0,22.0,16.0,3.0,5.0,1.0,86.0,0.0,42.0,Yes,Yes,Married,7.0,3.0,144,88,2
1145.0,Sales,Female,24.0,High School,Intern,1193.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,34.0,No,No,Single,1.0,0.0,145,96,1
1146.0,Sales,Female,59.0,PhD,Team Lead,6532.0,6.0,14.0,1.0,5.0,2.0,61.0,11.0,31.0,Yes,No,Divorced,3.0,1.0,146,89,2
1147.0,Sales,Female,23.0,Bachelor's Degree,Manager,8530.0,25.0,2.0,1.0,1.0,3.0,17.0,13.0,7.0,No,Yes,Divorced,4.0,2.0,147,86,2
1148.0,Finance,Male,46.0,PhD,Manager,8497.0,17.0,12.0,1.0,4.0,1.0,50.0,11.0,7.0,No,Yes,Divorced,3.0,3.0,148,86,2
1149.0,IT,Female,59.0,Master's Degree,Team Lead,5506.0,5.0,17.0,1.0,1.0,4.0,18.0,12.0,4.0,No,Yes,Divorced,8.0,1.0,149,90,2
1150.0,Sales,Male,21.0,Master's Degree,Intern,1329.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,44.0,No,No,Single,1.0,0.0,150,95,1
1151.0,HR,Prefer not to say,32.0,PhD,Team Lead,6822.0,28.0,19.0,3.0,5.0,1.0,81.0,3.0,32.0,No,Yes,Married,5.0,1.0,151,88,2
